"Version,booster",Launch site,Payload,Orbit,Customer,Flight No.,Payload mass,Launch outcome,Version Booster,Booster landing,Date,Time
,CCAFS,SpaceX CRS-16,LEO,NASA (CRS),65,"2,500 kg","Success
",F9 B5[,Failure,5 December 2018,18:16
,CCAFS,GPS III,MEO,USAF,66,"4,400 kg",Success,F9 B5[,No attempt,23 December 2018,13:51
,VAFB,Iridium NEXT,Polar,Iridium Communications,67,"9,600 kg","Success
",F9 B5B1049.2397,Success,11 January 2019,15:31
,CCAFS,Nusantara Satu,GTO,"PSN
SpaceIL / IAI
Air Force Research",68,"4,850 kg","Success
",F9 B5B1048.3399,Success,22 February 2019,01:45
,KSC,Crew Dragon Demo-1,LEO,NASA (CCD),69,"12,055 kg","Success
",F9 B5[]413,Success,2 March 2019,07:49
,CCAFS,SpaceX CRS-17,LEO,NASA (CRS),70,"2,495 kg","Success
",F9 B5[,Success,4 May 2019,06:48
,CCAFS,Starlink,LEO,SpaceX,71,"13,620 kg","Success
",F9 B5B1049.3434,Success,24 May 2019,02:30
,VAFB,RADARSAT Constellation,SSO,Canadian Space Agency (CSA),72,"4,200 kg","Success
",F9 B5B1051.2420,Success,12 June 2019,14:17
,CCAFS,SpaceX CRS-18,LEO,NASA (CRS),73,"2,268 kg","Success
",F9 B5B1056.2465,Success,25 July 2019,22:01
,CCAFS,AMOS-17,GTO,Spacecom,74,"6,500 kg","Success
",F9 B5B1047.3472,No attempt,6 August 2019,23:23
,CCAFS,Starlink,LEO,SpaceX,75,"15,600 kg","Success
",F9 B5,Success,11 November 2019,14:56
,CCAFS,SpaceX CRS-19,LEO,NASA (CRS),76,"2,617 kg","Success
",F9 B5[,Success,5 December 2019,17:29
,CCAFS,JCSat-18,GTO,Sky Perfect JSATKacific 1,77,"6,956 kg","Success
",F9 B5B1056.3482,Success,17 December 2019,00:10
,CCAFS,Starlink,LEO,SpaceX,78,"15,600 kg","Success
",F9 B5,Success,7 January 2020,02:19:21
,KSC,Crew Dragon in-flight abort test,Sub-orbital,NASA (CTS)[497],79,"12,050 kg","Success
",F9 B5,"No attempt
",19 January 2020,15:30
,CCAFS,Starlink,LEO,SpaceX,80,"15,600 kg","Success
",F9 B5,Success,29 January 2020,14:07
,CCAFS,Starlink,LEO,SpaceX,81,"15,600 kg","Success
",F9 B5,Failure,17 February 2020,15:05
,CCAFS,SpaceX CRS-20,LEO,NASA (CRS),82,"1,977 kg","Success
",F9 B5,Success,7 March 2020,04:50
,KSC,Starlink,LEO,SpaceX,83,"15,600 kg","Success
",F9 B5,Failure,18 March 2020,12:16
,KSC,Starlink,LEO,SpaceX,84,"15,600 kg","Success
",F9 B5,Success,22 April 2020,19:30
,KSC,Crew Dragon Demo-2,LEO,NASA (CCDev),85,"12,530 kg","Success
",F9 B5[,Success,30 May 2020,19:22
,CCAFS,Starlink,LEO,SpaceX,86,"15,600 kg","Success
",F9 B5,Success,4 June 2020,01:25
,CCAFS,Starlink,LEO,SpaceXPlanet Labs,87,"15,410 kg","Success
",F9 B5,Success,13 June 2020,09:21
,CCAFS,GPS III,MEO,U.S. Space Force[530],88,"4,311 kg","Success
",F9 B5,Success,30 June 2020,20:10:46
,CCAFS,ANASIS-II,GTO,Republic of Korea Army,89,"5,000–6,000 kg","Success
",F9 B5B1058.2544,Success,20 July 2020,21:30
,KSC,Starlink,LEO,SpaceXSpaceflight Industries (BlackSky),90,"14,932 kg","Success
",F9 B5,Success,7 August 2020,05:12
,CCAFS,Starlink,LEO,SpaceXPlanet Labs,91,"~15,440 kg","Success
",F9 B5B1049.6544,Success,18 August 2020,14:31
,CCAFS,SAOCOM 1B,SSO,CONAEPlanetIQTyvak,92,"3,130 kg","Success
",F9 B5,Success,30 August 2020,23:18
,KSC,Starlink,LEO,SpaceX,93,"15,600 kg","Success
",F9 B5B1060.2563,Success,3 September 2020,12:46:14
,KSC,Starlink,LEO,SpaceX,94,"15,600 kg","Success
",F9 B5B1058.3565,Success,6 October 2020,11:29:34
,KSC,Starlink,LEO,SpaceX,95,"15,600 kg","Success
",F9 B5B1051.6568,Success,18 October 2020,12:25:57
,CCAFS,Starlink,LEO,SpaceX,96,"15,600 kg","Success
",F9 B5,Success,24 October 2020,15:31:34
,CCAFS,GPS III,MEO,USSF,97,"4,311 kg","Success
",F9 B5,Success,5 November 2020,23:24:23
,KSC,Crew-1,LEO,NASA (CCP)[497],98,"~12,500 kg","Success
",F9 B5[,Success,16 November 2020,00:27
,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),LEO,NASA / NOAA / ESA / EUMETSAT,99,"1,192 kg","Success
",F9 B5,Success,21 November 2020,17:17:08
,CCAFS,Starlink,LEO,SpaceX,100,"15,600 kg","Success
",F9 B5 ♺[,Success,25 November 2020,02:13
,KSC,SpaceX CRS-21,LEO,NASA (CRS),101,"2,972 kg","Success
",F9 B5 ♺[,Success,6 December 2020,16:17:08
,CCSFS,SXM-7,GTO,Sirius XM,102,"7,000 kg","Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
,KSC,NROL-108,LEO,NRO,103,C,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
,CCSFS,Türksat 5A,GTO,Türksat,104,"3,500 kg","Success
",F9 B5,Success,8 January 2021,02:15
,KSC,Starlink,LEO,SpaceX,105,"15,600 kg","Success
",F9 B5B1051.8609,Success,20 January 2021,13:02
,CCSFS,Transporter-1,SSO,Various,106,"~5,000 kg","Success
",F9 B5B1058.5613,Success,24 January 2021,15:00
,CCSFS,Starlink,LEO,SpaceX,107,"15,600 kg","Success
",F9 B5 ♺[,Success,4 February 2021,06:19
,CCSFS,Starlink,LEO,SpaceX,108,"15,600 kg","Success
",F9 B5 ♺,Failure,16 February 2021,03:59:37
,KSC,Starlink,LEO,SpaceX,109,"15,600 kg","Success
",F9 B5 ♺[,Success,4 March 2021,08:24
,CCSFS,Starlink,LEO,SpaceX,110,"15,600 kg","Success
",F9 B5 ♺[,Success,11 March 2021,08:13:29
,KSC,Starlink,LEO,SpaceX,111,"15,600 kg","Success
",F9 B5 ♺,Success,14 March 2021,10:01
,CCSFS,Starlink,LEO,SpaceX,112,"15,600 kg","Success
",F9 B5B1060.6643,Success,24 March 2021,08:28
,CCSFS,Starlink,LEO,SpaceX,113,"15,600 kg","Success
",F9 B5 ♺,Success,7 April 2021,16:34
,KSC,Crew-2,LEO,NASA (CTS)[497],114,"~13,000 kg","Success
",F9 B5B1061.2647,Success,23 April 2021,9:49
,CCSFS,Starlink,LEO,SpaceX,115,"15,600 kg","Success
",F9 B5B1060.7652,Success,29 April 2021,03:44
,KSC,Starlink,LEO,SpaceX,116,"15,600 kg","Success
",F9 B5B1049.9655,Success,4 May 2021,19:01
,CCSFS,Starlink,LEO,SpaceX,117,"15,600 kg","Success
",F9 B5B1051.10657,Success,9 May 2021,06:42
,KSC,Starlink,LEO,SpaceX Capella Space and Tyvak,118,"~14,000 kg","Success
",F9 B5B1058.8660,Success,15 May 2021,22:56
,CCSFS,Starlink,LEO,SpaceX,119,"15,600 kg","Success
",F9 B5B1063.2665,Success,26 May 2021,18:59
,KSC,SpaceX CRS-22,LEO,NASA (CRS),120,"3,328 kg","Success
",F9 B5B1067.1668,Success,3 June 2021,17:29
,CCSFS,SXM-8,GTO,Sirius XM,121,"7,000 kg","Success
",F9 B5,Success,6 June 2021,04:26
